playDispNm,playMin,playPos,playHeight,playWeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB
Justin Holiday,31.5138888889,5,78.0,185.0,12.1666666667,2.125,1.29166666667,1.11111111111,0.430555555556,1.86111111111,10.8611111111,4.02777777778,0.377040277778,4.625,1.79166666667,0.375934722222,6.23611111111,2.23611111111,0.372840277778,2.27777777778,1.875,0.5812,0.430555555556,3.61111111111
Justin Jackson,22.1617647059,2,80.0,210.0,6.66176470588,1.08823529412,0.588235294118,0.411764705882,0.191176470588,1.19117647059,6.14705882353,2.72058823529,0.421339705882,3.42647058824,1.88235294118,0.493360294118,2.72058823529,0.838235294118,0.267432352941,0.529411764706,0.382352941176,0.216911764706,0.397058823529,2.35294117647
Justin Patton,4.0,3,84.0,230.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.5,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justise Winslow,24.7205882353,2,78.0,222.0,7.77941176471,2.17647058824,1.13235294118,0.779411764706,0.485294117647,2.05882352941,7.16176470588,3.04411764706,0.406110294118,5.25,2.32352941176,0.399355882353,1.91176470588,0.720588235294,0.306126470588,1.52941176471,0.970588235294,0.336522058824,0.941176470588,4.5
Jusuf Nurkic,26.4683544304,3,83.0,280.0,14.3291139241,1.81012658228,2.3164556962,0.810126582278,1.40506329114,3.12658227848,12.0379746835,6.07594936709,0.502298734177,11.9493670886,6.07594936709,0.504898734177,0.0886075949367,0.0,0.0,3.45569620253,2.17721518987,0.531094936709,2.39240506329,6.56962025316
Kadeem Allen,5.88888888889,5,75.0,205.0,1.05555555556,0.666666666667,0.5,0.166666666667,0.111111111111,0.833333333333,1.22222222222,0.333333333333,0.115738888889,0.611111111111,0.333333333333,0.14815,0.611111111111,0.0,0.0,0.5,0.388888888889,0.175927777778,0.222222222222,0.388888888889
Karl-Anthony Towns,35.6341463415,3,83.0,248.0,21.256097561,2.42682926829,1.9512195122,0.780487804878,1.41463414634,3.4756097561,14.2804878049,7.79268292683,0.545151219512,10.8048780488,6.32926829268,0.585641463415,3.4756097561,1.46341463415,0.395617073171,4.90243902439,4.20731707317,0.795946341463,2.93902439024,9.43902439024
Kawhi Leonard,23.4444444444,2,79.0,225.0,16.2222222222,2.33333333333,1.77777777778,2.0,1.0,1.0,12.3333333333,5.77777777778,0.479677777778,8.44444444444,4.55555555556,0.546422222222,3.88888888889,1.22222222222,0.299066666667,4.22222222222,3.44444444444,0.602811111111,0.666666666667,4.0
Kay Felder,8.8125,1,69.0,177.0,3.5625,1.25,1.0,0.1875,0.0625,0.6875,4.375,1.3125,0.217375,3.1875,1.0625,0.25305,1.1875,0.25,0.09375,0.75,0.6875,0.28125,0.1875,0.9375
Kelly Olynyk,23.4078947368,3,84.0,238.0,11.4736842105,2.72368421053,1.94736842105,0.815789473684,0.460526315789,2.92105263158,8.36842105263,4.15789473684,0.488121052632,4.68421052632,2.76315789474,0.572636842105,3.68421052632,1.39473684211,0.388075,2.28947368421,1.76315789474,0.538815789474,1.17105263158,4.5
Kelly Oubre Jr.,27.5679012346,2,79.0,203.0,11.7654320988,1.20987654321,1.11111111111,0.987654320988,0.432098765432,2.88888888889,9.75308641975,3.92592592593,0.402755555556,5.1975308642,2.37037037037,0.458024691358,4.55555555556,1.55555555556,0.324162962963,2.87654320988,2.35802469136,0.672207407407,0.728395061728,3.74074074074
Kemba Walker,34.2375,1,73.0,172.0,22.125,5.55,2.2375,1.15,0.3,1.225,17.0375,7.35,0.42682125,9.525,4.4625,0.4630325,7.5125,2.8875,0.3739025,5.25,4.5375,0.76933,0.4,2.7
Kendrick Perkins,15.0,3,82.0,280.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.5,2.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.5,0.0,1.0
Kenneth Faried,14.46875,4,80.0,228.0,5.875,0.5625,0.71875,0.375,0.40625,1.59375,4.625,2.375,0.46825625,4.59375,2.375,0.469459375,0.03125,0.0,0.0,1.59375,1.125,0.30625,2.125,2.6875
